Closest Location,Date,No. of Cases,precipIntensity,precipIntensityMax,precipIntensityMaxTime,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,humidity
Ang Mo Kio,28/01/2019,4.0,0.019,0.0734,1547445600,87.4,1547438880,75.94,1547505660,0.86
Ang Mo Kio,28/06/2019,50.0,0.0022,0.0109,1560460080,89.69,1560495000,80.6,1560541980,0.84
Ang Mo Kio,29/01/2019,2.0,0.0036,0.0321,1547532000,89.23,1547536620,77.08,1547592720,0.81
Ang Mo Kio,29/04/2019,1.0,0.0034,0.0303,1555308000,92.88,1555313640,79.61,1555358280,0.8
Botanic Garden,07/06/2019,3.0,0.001,0.0041,1558677480,91.05,1558680960,79.6,1558727640,0.79
Botanic Garden,10/06/2019,3.0,0.0073,0.0335,1558969200,91.49,1558933560,80.45,1558986240,0.8
Botanic Garden,14/06/2019,6.0,0.0143,0.0831,1559250060,88.99,1559278920,79.37,1559342400,0.83
Botanic Garden,19/06/2019,17.0,0.005,0.0261,1559682000,89.39,1559710140,79.07,1559774820,0.82
Botanic Garden,21/06/2019,10.0,0.0137,0.0683,1559865360,85.59,1559893800,79.27,1559937120,0.86
Botanic Garden,26/06/2019,2.0,0.0045,0.0305,1560297600,87.89,1560323940,81.73,1560365940,0.85
Buangkok,03/04/2019,5.0,0.0002,0.0015,1553094000,92.36,1553058180,78.42,1553120760,0.74
Buangkok,04/01/2019,12.0,0.0144,0.0518,1545381720,89.26,1545367260,77.5,1545430500,0.85
Buangkok,05/04/2019,11.0,0.0035,0.0178,1553234460,91.61,1553238000,78.47,1553286060,0.79
Buangkok,07/01/2019,17.0,0.0011,0.004,1545663540,90.09,1545631320,77.87,1545688500,0.79
Buangkok,09/04/2019,7.0,0.0041,0.0097,1553549880,91.55,1553583360,78.26,1553637480,0.78
Buangkok,11/01/2019,13.0,0.0056,0.0219,1545986880,90.15,1545974400,77.43,1546036860,0.76
Buangkok,12/04/2019,3.0,0.0054,0.0326,1553848140,91.27,1553842020,78.6,1553896620,0.81
Buangkok,14/01/2019,25.0,0.0095,0.0359,1546247220,88.25,1546234260,77.07,1546293660,0.85
Buangkok,16/04/2019,8.0,0.0156,0.041,1554143280,90.43,1554182280,75.37,1554249240,0.81
Buangkok,18/01/2019,33.0,0.0015,0.0063,1546549860,91.3,1546584180,78.53,1546639020,0.73
Buangkok,18/04/2019,8.0,0.01,0.0513,1554357900,90.41,1554354360,77.86,1554408180,0.79
Buangkok,21/01/2019,30.0,0.0009,0.0031,1546851180,89.06,1546837680,78.98,1546891260,0.81
Buangkok,23/04/2019,9.0,0.0118,0.0468,1554797160,91.24,1554786000,79.1,1554841020,0.81
Buangkok,25/01/2019,46.0,0.0002,0.0014,1547153640,89.27,1547183280,76.22,1547247120,0.8
Buangkok,26/04/2019,10.0,0.0038,0.0079,1555063320,91.45,1555045680,79.69,1555099560,0.8
Buangkok,28/01/2019,41.0,0.0198,0.0733,1547445660,87.67,1547448840,76.24,1547505720,0.84
Buangkok,29/01/2019,50.0,0.0034,0.0304,1547532000,89.56,1547536860,77.63,1547592600,0.8
Buangkok,29/04/2019,2.0,0.0029,0.0259,1555308000,94.04,1555314360,79.94,1555358280,0.79
Bukit Panjang,02/07/2019,20.0,0.0153,0.08,1560815880,84.81,1560834000,79.04,1560880860,0.89
Bukit Panjang,03/04/2019,5.0,0.0001,0.0004,1553078100,91.64,1553064960,77.44,1553118540,0.77
Bukit Panjang,03/06/2019,3.0,0.0002,0.0006,1558347060,90.02,1558328400,79.42,1558382220,0.82
Bukit Panjang,04/01/2019,14.0,0.0112,0.0446,1545373800,88.87,1545368040,76.68,1545428460,0.87
Bukit Panjang,05/04/2019,5.0,0.0029,0.0078,1553245500,91.0,1553239320,77.32,1553290500,0.82
Bukit Panjang,07/01/2019,16.0,0.0009,0.0041,1545641580,89.71,1545634320,76.26,1545681420,0.81
Bukit Panjang,07/06/2019,5.0,0.0014,0.0089,1558677540,91.32,1558682100,78.66,1558727700,0.8
Bukit Panjang,09/04/2019,5.0,0.0056,0.0127,1553568780,91.48,1553584020,76.98,1553638920,0.81
Bukit Panjang,10/06/2019,7.0,0.0087,0.0384,1558947540,91.34,1558933260,79.66,1558986840,0.83
Bukit Panjang,11/01/2019,18.0,0.0034,0.0161,1545987300,89.86,1545979500,76.77,1546036080,0.79
Bukit Panjang,14/01/2019,16.0,0.0107,0.0457,1546248300,89.15,1546242360,76.47,1546286280,0.85
Bukit Panjang,14/06/2019,8.0,0.0144,0.0595,1559250060,88.31,1559278380,78.84,1559333040,0.85
Bukit Panjang,18/01/2019,24.0,0.0017,0.0097,1546550340,91.17,1546585200,77.9,1546639020,0.77
Bukit Panjang,19/06/2019,5.0,0.0049,0.017,1559682000,89.15,1559709660,78.57,1559774640,0.84
Bukit Panjang,21/01/2019,23.0,0.0015,0.0061,1546851240,88.29,1546845900,78.5,1546890840,0.84
Bukit Panjang,21/06/2019,8.0,0.0095,0.0528,1559865420,85.92,1559893860,78.32,1559937300,0.88
Bukit Panjang,22/05/2019,2.0,0.0113,0.0292,1557284640,88.37,1557304020,79.36,1557347760,0.85
Bukit Panjang,24/05/2019,2.0,0.005,0.0206,1557425040,91.38,1557472980,80.21,1557518880,0.79
Bukit Panjang,25/01/2019,27.0,0.0002,0.0007,1547153880,88.83,1547182980,75.01,1547246400,0.82
Bukit Panjang,26/06/2019,13.0,0.0028,0.0195,1560297600,88.31,1560324240,81.25,1560369300,0.86
