Location,No. of Cases,Date,Latitude,Longtitude,Closest Location,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Bedok Avenue,1,04/01/2019,1.3217159,103.9527354,Simei,0,0,0,0,—,—,—,—,—
Bedok Garden,1,04/01/2019,1.3212080,103.9274140,Chai Chee,0,0,0,0,—,—,—,—,—
Bedok Road,1,04/01/2019,1.3264714,103.9512968,Simei,0,0,0,0,—,—,—,—,—
Bedok Road (Country Park Condominium),1,04/01/2019,1.3213921,103.9547724,Simei,0,0,0,0,—,—,—,—,—
Jalan Bilal,1,04/01/2019,1.3221740,103.9540573,Simei,0,0,0,0,—,—,—,—,—
Alexandra Road (The Anchorage),3,04/01/2019,1.2898310,103.8042250,Pasir Panjang,0,0,0,0,29.2,31.2,27.1,22,54.7
Barbary Walk,1,04/01/2019,1.2904185,103.8055399,Queenstown,0,0,0,0,—,—,—,—,—
Pasir Ris Drive 4 (Blk 234),1,04/01/2019,1.3734054,103.9619424,Pasir Ris (Central),0,0,0,0,—,—,—,—,—
Pasir Ris Street 21 (Blk 228),2,04/01/2019,1.3721626,103.9615797,Pasir Ris (Central),0,0,0,0,—,—,—,—,—
Pasir Ris Street 21 (Blk 240),1,04/01/2019,1.3734738,103.9627583,Pasir Ris (Central),0,0,0,0,—,—,—,—,—
Yishun Avenue 5 (Blk 703),2,04/01/2019,1.4296282,103.8289170,Yishun,0,0,0,0,—,—,—,—,—
Yishun Avenue 5 (Blk 706),1,04/01/2019,1.4289439,103.8287019,Yishun,0,0,0,0,—,—,—,—,—
Yishun Avenue 5 (Blk 734),1,04/01/2019,1.4293732,103.8308601,Yishun,0,0,0,0,—,—,—,—,—
Ang Mo Kio Avenue 9 (Blk 621),2,04/01/2019,1.3830649,103.8406919,Ang Mo Kio,0,0,0,0,29.2,32.6,26.3,7.6,31.3
Ang Mo Kio Avenue 9 (Blk 627),1,04/01/2019,1.3818885,103.8413260,Ang Mo Kio,0,0,0,0,29.2,32.6,26.3,7.6,31.3
Choa Chu Kang Avenue 2 (Blk 274),1,04/01/2019,1.3793780,103.7428220,Choa Chu Kang (Central),0,0,0,0,—,—,—,—,—
Choa Chu Kang Avenue 3 (Blk 281),1,04/01/2019,1.3810032,103.7431720,Choa Chu Kang (Central),0,0,0,0,—,—,—,—,—
Choa Chu Kang Avenue 3 (Blk 286),1,04/01/2019,1.3800582,103.7418143,Choa Chu Kang (Central),0,0,0,0,—,—,—,—,—
Hougang Avenue 6 (Blk 527),1,04/01/2019,1.3748555,103.8905203,Buangkok,0,0,0,0,—,—,—,—,—
Hougang Avenue 6 (Blk 530),1,04/01/2019,1.3752792,103.8900899,Buangkok,0,0,0,0,—,—,—,—,—
Hougang Avenue 6 (Blk 531),1,04/01/2019,1.3758094,103.8902484,Buangkok,0,0,0,0,—,—,—,—,—
Ipoh Lane (Emery Point),1,04/01/2019,1.3117080,103.8957262,Marine Parade,0,0,0,0,—,—,—,—,—
Ipoh Lane (Imperial Heights),1,04/01/2019,1.3116198,103.8950390,Marine Parade,0,0,0,0,—,—,—,—,—
Ipoh Lane (Versilia on Haig),1,04/01/2019,1.3121902,103.8959146,Marine Parade,0,0,0,0,—,—,—,—,—
Jalan Eunos (Eunos Mansions),3,04/01/2019,1.3298667,103.9056122,Chai Chee,0,0,0,0,—,—,—,—,—
Mergui Road (Mergui Mansions),2,04/01/2019,1.3173131,103.8517873,Whampoa,0,0,0,0,—,—,—,—,—
Mergui Road (Pristine Heights),1,04/01/2019,1.3170939,103.8519834,Whampoa,0,0,0,0,—,—,—,—,—
Cashew Road (Cashew Park Condominium),2,04/01/2019,1.3713709,103.7676590,Bukit Panjang,0,0,0,0,—,—,—,—,—
Commonwealth Crescent (Blk 107),1,04/01/2019,1.3079526,103.7993030,Buona Vista,0,0,0,0,—,—,—,—,—
Commonwealth Crescent (Blk 113),1,04/01/2019,1.3068443,103.7979674,Buona Vista,0,0,0,0,—,—,—,—,—
Jelapang Road (Blk 504),1,04/01/2019,1.3846114,103.7670046,Bukit Panjang,0,0,0,0,—,—,—,—,—
Jelapang Road (Blk 522),1,04/01/2019,1.3863666,103.7660743,Bukit Panjang,0,0,0,0,—,—,—,—,—
Jalan Pergam,1,04/01/2019,1.3444372,103.9615256,Simei,0,0,0,0,—,—,—,—,—
Upper Changi Road East (East View Garden),1,04/01/2019,1.3436381,103.9618555,Simei,0,0,0,0,—,—,—,—,—
Kaki Bukit Avenue 3,2,04/01/2019,1.3373461,103.9088085,Chai Chee,0,0,0,0,—,—,—,—,—
Marine Terrace (Blk 52),1,04/01/2019,1.3059044,103.9163476,East Coast Parkway,0,0,0,0,29.8,32.3,27.5,15.8,39.2
Marine Terrace (Blk 53),1,04/01/2019,1.3051731,103.9163476,East Coast Parkway,0,0,0,0,29.8,32.3,27.5,15.8,39.2
Woodlands Crescent (Blk 776),1,04/01/2019,1.4477849,103.8000766,Admiralty,0,0,0,0,29,31.8,26.9,13,38.5
Woodlands Crescent (Blk 780A),1,04/01/2019,1.4483150,103.8009103,Admiralty,0,0,0,0,29,31.8,26.9,13,38.5
