Location,No. of Cases,Date,Coordinates,Closest Location,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
"Canberra View, Singapore",2,11-01-18,"1.4433591, 103.8324787",Yishun ,—,—,—,—,—,—,—,—,—
"Joo Chiat Avenue, Singapore",1,11-01-18,"1.3159035, 103.9116366",Tanjong Katong ,10.8,1,1.2,2,—,—,—,—,—
"Lorong G Telok Kurau, Singapore",1,11-01-18,"1.3171163, 103.9101586",Tanjong Katong ,10.8,1,1.2,2,—,—,—,—,—
"Lorong H Telok Kurau, Singapore",3,11-01-18,"1.3162713, 103.9107491",Tanjong Katong ,10.8,1,1.2,2,—,—,—,—,—
"Yishun Street 11 (Blk 128), Singapore",6,11-01-18,"1.4339140, 103.8311350",Yishun ,—,—,—,—,—,—,—,—,—
"Ah Hood Road (The Belleforte), Singapore",1,11-01-18,"1.3272753, 103.8452119",Whampoa ,11,1,1.4,2.4,—,—,—,—,—
"Jalan Dusun (Blk 104), Singapore",1,11-01-18,"1.3285514, 103.8446805",Whampoa ,11,1,1.4,2.4,—,—,—,—,—
"Jalan Dusun (Blk 106), Singapore",1,11-01-18,"1.3285517, 103.8446775",Whampoa ,11,1,1.4,2.4,—,—,—,—,—
"Kampong Eunos (Eunos Park), Singapore",3,11-01-18,"1.3185340, 103.9064638",Tanjong Katong ,10.8,1,1.2,2,—,—,—,—,—
"Woodlands Drive 52 (Blk 620), Singapore",2,11-01-18,"1.4336298, 103.7986691",Admiralty ,14.4,1,1.6,2.8,23.4,25.4,21.7,10.8,40
"Woodlands Ring Road (Blk 628B), Singapore",1,11-01-18,"1.4341688, 103.8005255",Admiralty ,14.4,1,1.6,2.8,23.4,25.4,21.7,10.8,40
"Tampines Street 44 (Blk 468), Singapore",1,11-01-18,"1.3604550, 103.9550780",Pasir Ris (Central) ,10.8,0.8,1.4,2.4,—,—,—,—,—
"Tampines Street 44 (Blk 469), Singapore",1,11-01-18,"1.3603414, 103.9546897",Pasir Ris (Central) ,10.8,0.8,1.4,2.4,—,—,—,—,—
"Tampines Street 82 (Blk 842H), Singapore",1,11-01-18,"1.3509299, 103.9367410",Simei ,11.5,1,1.5,2.5,—,—,—,—,—
"Yishun Avenue 7 (Blk 172), Singapore",2,12-01-18,"1.4368965, 103.8317924",Yishun ,—,—,—,—,—,—,—,—,—
"Yishun Avenue 7 (Blk 173), Singapore",4,12-01-18,"1.4370075, 103.8309346",Yishun ,—,—,—,—,—,—,—,—,—
"Yishun Avenue 7 (Blk 174), Singapore",2,12-01-18,"1.4374434, 103.8318144",Yishun ,—,—,—,—,—,—,—,—,—
"Yishun Ring Road (Blk 166), Singapore",9,12-01-18,"1.4363075, 103.8316116",Yishun ,—,—,—,—,—,—,—,—,—
"Canberra Crescent (Blk 130B), Singapore",1,12-01-18,"1.4443594, 103.8320871",Yishun ,—,—,—,—,—,—,—,—,—
"Canberra Crescent, Singapore",2,12-01-18,"1.4451794, 103.8308611",Yishun ,—,—,—,—,—,—,—,—,—
"Canberra Link, Singapore",4,12-01-18,"1.4469100, 103.8274990",Yishun ,—,—,—,—,—,—,—,—,—
"Canberra View, Singapore",2,12-01-18,"1.4433591, 103.8324787",Yishun ,—,—,—,—,—,—,—,—,—
"Joo Chiat Avenue, Singapore",1,12-01-18,"1.3159035, 103.9116366",Tanjong Katong ,6.6,0.8,1.4,2.4,—,—,—,—,—
"Lorong G Telok Kurau, Singapore",1,12-01-18,"1.3171163, 103.9101586",Tanjong Katong ,6.6,0.8,1.4,2.4,—,—,—,—,—
"Lorong H Telok Kurau, Singapore",4,12-01-18,"1.3162713, 103.9107491",Tanjong Katong ,6.6,0.8,1.4,2.4,—,—,—,—,—
"Yishun Street 11 (Blk 128), Singapore",6,12-01-18,"1.4339140, 103.8311350",Yishun ,—,—,—,—,—,—,—,—,—
"Yishun Street 11 (Blk 132), Singapore",1,12-01-18,"1.4328560, 103.8312980",Yishun ,—,—,—,—,—,—,—,—,—
"Ah Hood Road (The Belleforte), Singapore",1,12-01-18,"1.3272753, 103.8452119",Whampoa ,7.2,0.6,1.2,2.2,—,—,—,—,—
"Balestier Road, Singapore",1,12-01-18,"1.3214951, 103.8528591",Whampoa ,7.2,0.6,1.2,2.2,—,—,—,—,—
"Jalan Dusun (Blk 104), Singapore",1,12-01-18,"1.3285514, 103.8446805",Whampoa ,7.2,0.6,1.2,2.2,—,—,—,—,—
"Jalan Dusun (Blk 106), Singapore",1,12-01-18,"1.3285517, 103.8446775",Whampoa ,7.2,0.6,1.2,2.2,—,—,—,—,—
"Kampong Eunos (Eunos Park), Singapore",3,12-01-18,"1.3185340, 103.9064638",Tanjong Katong ,6.6,0.8,1.4,2.4,—,—,—,—,—
"Woodlands Drive 52 (Blk 620), Singapore",2,12-01-18,"1.4336298, 103.7986691",Admiralty ,8.6,0.8,1.4,2,22.5,23.4,21.7,11.5,33.5
"Woodlands Ring Road (Blk 628B), Singapore",1,12-01-18,"1.4341688, 103.8005255",Admiralty ,8.6,0.8,1.4,2,22.5,23.4,21.7,11.5,33.5
"Tampines Street 44 (Blk 469), Singapore",1,12-01-18,"1.3603414, 103.9546897",Pasir Ris (Central) ,9.6,1,1.6,2.6,—,—,—,—,—
"Tampines Street 82 (Blk 842C), Singapore",1,12-01-18,"1.3519531, 103.9370129",Simei ,9,1,2,2.5,—,—,—,—,—
"Tampines Street 82 (Blk 842H), Singapore",1,12-01-18,"1.3509299, 103.9367410",Simei ,9,1,2,2.5,—,—,—,—,—
"Yishun Avenue 7, Singapore",1,15-01-18,"1.4386374, 103.8334056",Yishun ,—,—,—,—,—,—,—,—,—
"Yishun Avenue 7 (Blk 172), Singapore",2,15-01-18,"1.4368965, 103.8317924",Yishun ,—,—,—,—,—,—,—,—,—
"Yishun Avenue 7 (Blk 173), Singapore",5,15-01-18,"1.4370075, 103.8309346",Yishun ,—,—,—,—,—,—,—,—,—
"Yishun Avenue 7 (Blk 174), Singapore",2,15-01-18,"1.4374434, 103.8318144",Yishun ,—,—,—,—,—,—,—,—,—
"Yishun Ring Road (Blk 165), Singapore",1,15-01-18,"1.4357604, 103.8316812",Yishun ,—,—,—,—,—,—,—,—,—
"Yishun Ring Road (Blk 166), Singapore",12,15-01-18,"1.4363075, 103.8316116",Yishun ,—,—,—,—,—,—,—,—,—
"Yishun Street 11 (Blk 122), Singapore",1,15-01-18,"1.4349397, 103.8309110",Yishun ,—,—,—,—,—,—,—,—,—
"Yishun Street 11 (Blk 124), Singapore",2,15-01-18,"1.4346195, 103.8309213",Yishun ,—,—,—,—,—,—,—,—,—
"Yishun Street 11 (Blk 132), Singapore",1,15-01-18,"1.4328560, 103.8312980",Yishun ,—,—,—,—,—,—,—,—,—
"Jalan Gajus, Singapore",1,15-01-18,"1.3043170, 103.8999760",Marine Parade ,2.8,2.2,2.2,2.2,—,—,—,—,—
"Seraya Lane, Singapore",2,15-01-18,"1.3067327, 103.8995011",Tanjong Katong ,0.8,0.4,0.6,0.6,—,—,—,—,—
"Seraya Road, Singapore",1,15-01-18,"1.3058160, 103.9003082",Tanjong Katong ,0.8,0.4,0.6,0.6,—,—,—,—,—
"Toh Tuck Road (The Beverly), Singapore",4,15-01-18,"1.3393409, 103.7673540",Clementi ,0.6,0.4,0.4,0.6,24.7,28.1,22.8,7.2,29.9
"Woodlands Drive 52 (Blk 619), Singapore",1,15-01-18,"1.4334124, 103.7982164",Admiralty ,0.6,0.4,0.4,0.6,24.5,27.3,22.6,10.8,33.8
"Woodlands Drive 52 (Blk 620), Singapore",2,15-01-18,"1.4336298, 103.7986691",Admiralty ,0.6,0.4,0.4,0.6,24.5,27.3,22.6,10.8,33.8
