Location,No. of Cases,Date
Whampoa Drive (Blk 1 01),2,04-06-18
Pasir Ris Street 51 (Blk 559),1,04-06-18
Pasir Ris Street 51 (Blk 560),2,04-06-18
Pasir Ris Street 51 (Blk 564),1,04-06-18
Petir Road (Blk 215),1,04-06-18
Petir Road (Blk 216),1,04-06-18
Petir Road (Blk 218),1,04-06-18
Tampines Street 12 (Blk 143),2,04-06-18
Tampines Street 12 (Blk 144),1,04-06-18
Tampines Street 42 (Blk 460),1,04-06-18
Tampines Street 43 (Blk 474),1,04-06-18
Tampines Street 44 (Blk 463),1,04-06-18
Bukit Batok Central (Blk 639 ),2,04-06-18
Hougang Avenue 7 (Blk 354),1,08-06-18
Hougang Avenue 7 (Rio Casa ),2,08-06-18
Hougang Avenue 7 (The Florida),5,08-06-18
Upper Serangoon View,63,08-06-18
Upper Serangoon View (Boat house Residences),11,08-06-18
Upper Serangoon View (Hero n Bay),9,08-06-18
Upper Serangoon View (Rio V ista),10,08-06-18
Tampines Street 42 (Blk 454),1,08-06-18
Tampines Street 42 (Blk 460),1,08-06-18
Tampines Street 44 (Blk 438),1,08-06-18
Tampines Street 43 (Blk 474),1,08-06-18
Tampines Street 44 (Blk 463),2,08-06-18
Tampines Street 11 (Blk 107),1,08-06-18
Tampines Street 11 (Blk 109),1,08-06-18
Yishun Ring Road (Blk 8 06),1,08-06-18
Yishun Ring Road (Blk 8 09),1,08-06-18
Yishun Street 61 (Blk 636),1,08-06-18
Yishun Street 61 (Blk 638),1,08-06-18
Hougang Avenue 7 (Blk 354),1,11-06-18
Hougang Avenue 7 (Rio Casa ),2,11-06-18
Hougang Avenue 7 (The Florida),5,11-06-18
Upper Serangoon View,63,11-06-18
Upper Serangoon View (Boat house Residences),11,11-06-18
Upper Serangoon View (Hero n Bay),9,11-06-18
Upper Serangoon View (Rio V ista),11,11-06-18
Tampines Street 42 (Blk 454),1,11-06-18
Tampines Street 42 (Blk 460),1,11-06-18
Tampines Street 44 (Blk 438),1,11-06-18
Tampines Street 43 (Blk 474),1,11-06-18
Tampines Street 44 (Blk 463),3,11-06-18
Tampines Street 11 (Blk 107),1,11-06-18
Tampines Street 11 (Blk 109),1,11-06-18
Yishun Ring Road (Blk 8 06),1,11-06-18
Yishun Ring Road (Blk 8 09),1,11-06-18
Yishun Street 61 (Blk 636),1,11-06-18
Yishun Street 61 (Blk 638),1,11-06-18
Hougang Avenue 7 (Blk 354),1,14-06-18
Hougang Avenue 7 (Rio Casa ),2,14-06-18
Hougang Avenue 7 (The Florida),5,14-06-18
Upper Serangoon View,63,14-06-18
Upper Serangoon View (Boat house Residences),11,14-06-18
Upper Serangoon View (Hero n Bay),11,14-06-18
Upper Serangoon View (Rio V ista),12,14-06-18
Tampines Street 41 (Blk 430),1,14-06-18
Tampines Street 42 (Blk 454),1,14-06-18
Tampines Street 42 (Blk 460),1,14-06-18
Tampines Street 43 (Blk 434),1,14-06-18
Tampines Street 43 (Blk 438),1,14-06-18
Tampines Street 43 (Blk 474),1,14-06-18
Tampines Street 44 (Blk 463),3,14-06-18
Bedok Reservoir Road (Blk 1 04),1,14-06-18
Bedok Reservoir Road (Blk 1 16),1,14-06-18
Bedok Reservoir Road (Blk 1 17),2,14-06-18
Bedok Reservoir Road (Blk 1 18),1,14-06-18
Bedok Reservoir Road (Blk 1 20),1,14-06-18
Tampines Street 45 (Blk 491C ),1,14-06-18
Tampines Street 45 (Blk 491D ),1,14-06-18
Tampines Street 45 (Blk 491F ),1,14-06-18
Tampines Street 45 (Blk 491G ),1,14-06-18
Jurong West Avenue 1 (Blk 484),1,14-06-18
Jurong West Street 41 (Bl k 477),1,14-06-18
Jurong West Street 41 (Bl k 492),1,14-06-18
Tampines Street 12 (Blk 143),3,14-06-18
Hougang Avenue 7 (Blk 354),1,18-06-18
Hougang Avenue 7 (Rio Casa ),2,18-06-18
Hougang Avenue 7 (The Florida),5,18-06-18
Upper Serangoon View,63,18-06-18
Upper Serangoon View (Boat house Residences),11,18-06-18
Upper Serangoon View (Hero n Bay),11,18-06-18
Upper Serangoon View (Rio V ista),12,18-06-18
Tampines Street 41 (Blk 430),1,18-06-18
Tampines Street 42 (Blk 454),1,18-06-18
Tampines Street 42 (Blk 460),1,18-06-18
Tampines Street 43 (Blk 434),1,18-06-18
Tampines Street 43 (Blk 438),1,18-06-18
Tampines Street 43 (Blk 474),1,18-06-18
Tampines Street 44 (Blk 463),3,18-06-18
Bedok Reservoir Road (Blk 1 04),1,18-06-18
Bedok Reservoir Road (Blk 1 16),1,18-06-18
Bedok Reservoir Road (Blk 1 17),2,18-06-18
Bedok Reservoir Road (Blk 1 18),1,18-06-18
Bedok Reservoir Road (Blk 1 20),1,18-06-18
Bedok Reservoir Road (Blk 1 25),1,18-06-18
Bedok Reservoir Road (Blk 1 32),1,18-06-18
Tampines Street 45 (Blk 491C ),1,18-06-18
Tampines Street 45 (Blk 491D ),1,18-06-18
Tampines Street 45 (Blk 491F ),1,18-06-18
Tampines Street 45 (Blk 491G ),1,18-06-18
Jurong West Avenue 1 (Blk 484),1,18-06-18
Jurong West Street 41 (Bl k 477),1,18-06-18
Jurong West Street 41 (Bl k 492),1,18-06-18
Tampines Street 12 (Blk 143),3,18-06-18
Hougang Avenue 7 (Blk 354),1,22-06-18
Hougang Avenue 7 (Blk 357),1,22-06-18
Hougang Avenue 7 (Rio Casa ),4,22-06-18
Hougang Avenue 7 (The Flori da),5,22-06-18
Upper Serangoon View,64,22-06-18
Upper Serangoon View (Boat house Residences),11,22-06-18
Upper Serangoon View (Hero n Bay),11,22-06-18
Upper Serangoon View (Rio V ista),12,22-06-18
Bedok Reservoir Road (Blk 1 04),1,22-06-18
Bedok Reservoir Road (Blk 1 16),1,22-06-18
Bedok Reservoir Road (Blk 1 17),2,22-06-18
Bedok Reservoir Road (Blk 1 18),2,22-06-18
Bedok Reservoir Road (Blk 1 20),2,22-06-18
Bedok Reservoir Road (Blk 1 21),1,22-06-18
Bedok Reservoir Road (Blk 1 25),1,22-06-18
Bedok Reservoir Road (Blk 1 32),1,22-06-18
Tampines Avenue 9 (Blk 488A ),1,22-06-18
Tampines Street 41 (Blk 429),1,22-06-18
Tampines Street 41 (Blk 430),1,22-06-18
Tampines Street 42 (Blk 454),1,22-06-18
Tampines Street 42 (Blk 460),1,22-06-18
Tampines Street 43 (Blk 434),1,22-06-18
Tampines Street 43 (Blk 438),1,22-06-18
Tampines Street 43 (Blk 474),1,22-06-18
Tampines Street 44 (Blk 463),3,22-06-18
Tampines Street 12 (Blk 143),5,22-06-18
Cashew Road (Cashew Park Condominium),4,22-06-18
Tampines Street 45 (Blk 491C ),1,22-06-18
Tampines Street 45 (Blk 491D ),1,22-06-18
Tampines Street 45 (Blk 491F ),1,22-06-18
Tampines Street 45 (Blk 491G ),1,22-06-18
Hougang Avenue 7 (Blk 354),1,25-06-18
Hougang Avenue 7 (Blk 357),1,25-06-18
Hougang Avenue 7 (Rio Casa ),4,25-06-18
Hougang Avenue 7 (The Flori da),5,25-06-18
Upper Serangoon View,64,25-06-18
Upper Serangoon View (Boat house Residences),11,25-06-18
Upper Serangoon View (Hero n Bay),11,25-06-18
Upper Serangoon View (Rio V ista),12,25-06-18
Bedok Reservoir Road (Blk 1 04),1,25-06-18
Bedok Reservoir Road (Blk 1 16),1,25-06-18
Bedok Reservoir Road (Blk 1 17),2,25-06-18
Bedok Reservoir Road (Blk 1 18),3,25-06-18
Bedok Reservoir Road (Blk 1 20),2,25-06-18
Bedok Reservoir Road (Blk 1 21),1,25-06-18
Bedok Reservoir Road (Blk 1 25),1,25-06-18
Bedok Reservoir Road (Blk 1 32),1,25-06-18
Tampines Avenue 9 (Blk 488A ),1,25-06-18
Tampines Street 41 (Blk 429),1,25-06-18
Tampines Street 41 (Blk 430),1,25-06-18
Tampines Street 42 (Blk 454),1,25-06-18
Tampines Street 42 (Blk 460),1,25-06-18
Tampines Street 43 (Blk 434),1,25-06-18
Tampines Street 43 (Blk 438),1,25-06-18
Tampines Street 43 (Blk 474),1,25-06-18
Tampines Street 44 (Blk 463),3,25-06-18
Tampines Street 12 (Blk 143),5,25-06-18
Tampines Street 12 (Blk 144),1,25-06-18
Cashew Road (Cashew Park Condominium),4,25-06-18
Tampines Street 45 (Blk 491C ),1,25-06-18
Tampines Street 45 (Blk 491D ),1,25-06-18
Tampines Street 45 (Blk 491F ),1,25-06-18
Tampines Street 45 (Blk 491G ),1,25-06-18
Geylang East Avenue 1 (Blk 131),1,25-06-18
Geylang East Avenue 1 (Blk 132),1,25-06-18
Geylang East Avenue 1 (Central Grove),1,25-06-18
Bedok Reservoir Road (Blk 1 04),1,29-06-18
Bedok Reservoir Road (Blk 1 16),1,29-06-18
Bedok Reservoir Road (Blk 1 17),2,29-06-18
Bedok Reservoir Road (Blk 1 18),4,29-06-18
Bedok Reservoir Road (Blk 1 20),2,29-06-18
Bedok Reservoir Road (Blk 1 21),1,29-06-18
Bedok Reservoir Road (Blk 1 25),1,29-06-18
Bedok Reservoir Road (Blk 1 32),1,29-06-18
Cashew Cresent,3,29-06-18
Cashew Road (Cashew Park Condominium),7,29-06-18
Tampines Street 12 (Blk 143),5,29-06-18
Tampines Street 12 (Blk 144),1,29-06-18
Geylang East Avenue 1 (Blk 131),1,29-06-18
Geylang East Avenue 1 (Blk 132),1,29-06-18
Geylang East Avenue 1 (Central Grove),2,29-06-18
Bedok Reservoir Road (Blk 1 04),1,02-07-18
Bedok Reservoir Road (Blk 1 16),1,02-07-18
Bedok Reservoir Road (Blk 1 17),2,02-07-18
Bedok Reservoir Road (Blk 1 18),4,02-07-18
Bedok Reservoir Road (Blk 1 20),2,02-07-18
Bedok Reservoir Road (Blk 1 21),1,02-07-18
Bedok Reservoir Road (Blk 1 25),1,02-07-18
Bedok Reservoir Road (Blk 1 32),1,02-07-18
Cashew Cresent,3,02-07-18
Cashew Road (Cashew Park Condominium),8,02-07-18
Tampines Street 12 (Blk 143),5,02-07-18
Tampines Street 12 (Blk 144),1,02-07-18
Geylang East Avenue 1 (Blk 131),1,02-07-18
Geylang East Avenue 1 (Blk 132),1,02-07-18
Geylang East Avenue 1 (Central Grove),2,02-07-18
Cashew Crescent,3,06-07-18
Cashew Road (Cashew Park Condominium),8,06-07-18
Cashew Crescent,4,09-07-18
Cashew Road (Cashew Park Condominium),8,09-07-18
Cashew Crescent,4,13-07-18
Cashew Road (Cashew Park Condominium),9,13-07-18
Ceylon Road,1,13-07-18
Pennefather Road,1,13-07-18
Cashew Crescent,4,16-07-18
Cashew Road (Cashew Park Condominium),9,16-07-18
Bukit Batok West Avenue 6 (B lk 136),3,16-07-18
Geylang East Avenue 1 (Blk 124),1,16-07-18
Geylang East Avenue 2,1,16-07-18
Cashew Road (Cashew Park Condominium),10,20-07-18
Tampines Street 11 (Blk 107),4,20-07-18
Bukit Batok West Avenue 6 (B lk 136),3,20-07-18
Clementi West Street 2 (Blk 709 ),1,20-07-18
Clementi West Street 2 (Blk 713 ),1,20-07-18
Clementi West Street 2 (Blk 714 ),1,20-07-18
Hougang Avenue 7 (The Flori da),3,20-07-18
Pearl Bank (Pearl Bank Apartments),3,20-07-18
Chai Chee Road (Blk 1 0),1,20-07-18
Chai Chee Road (Blk 8 08C),1,20-07-18
Chestnut Gardens,1,20-07-18
Jalan Suasa,1,20-07-18
Tampines Street 12 (Blk 163),1,20-07-18
Tampines Street 12 (Blk 164),1,20-07-18
Cashew Road (Cashew Park Condominium),10,23-07-18
Tampines Street 11 (Blk 107),4,23-07-18
Bukit Batok West Avenue 6 (B lk 136),3,23-07-18
Hougang Avenue 7 (The Flori da),3,23-07-18
Pearl Bank (Pearl Bank Apartments),3,23-07-18
Chai Chee Road (Blk 1 0),1,23-07-18
Chai Chee Road (Blk 8 08C),1,23-07-18
Chestnut Gardens,1,23-07-18
Jalan Suasa,1,23-07-18
Tampines Street 12 (Blk 163),1,23-07-18
Tampines Street 12 (Blk 164),1,23-07-18
Bedok Reservoir Road (Blk 1 27),1,27-07-18
Bedok Reservoir Road (Blk 1 32),3,27-07-18
Bedok Reservoir Road (Blk 1 33),3,27-07-18
Bedok Reservoir Road (Blk 1 34),1,27-07-18
Bedok Reservoir Road (Blk 1 35),2,27-07-18
Joo Chiat Road,1,27-07-18
Koon Seng Road,2,27-07-18
Tembeling Road,1,27-07-18
Tampines Street 11 (Blk 107),4,27-07-18
Tampines Street 12 (Blk 163),2,27-07-18
Tampines Street 12 (Blk 164),1,27-07-18
Bedok Reservoir Road (Blk 1 27),1,30-07-18
Bedok Reservoir Road (Blk 1 32),4,30-07-18
Bedok Reservoir Road (Blk 1 33),3,30-07-18
Bedok Reservoir Road (Blk 1 34),1,30-07-18
Bedok Reservoir Road (Blk 1 35),2,30-07-18
Joo Chiat Road,1,30-07-18
Koon Seng Road,2,30-07-18
Tembeling Road,1,30-07-18
Tampines Street 11 (Blk 107),4,30-07-18
Hillview Avenue (Hillview Residence),3,30-07-18
Tampines Street 12 (Blk 163),2,30-07-18
Tampines Street 12 (Blk 164),1,30-07-18
Bedok Reservoir Road (Blk 1 32),4,03-08-18
Bedok Reservoir Road (Blk 1 33),3,03-08-18
Bedok Reservoir Road (Blk 1 34),2,03-08-18
Bedok Reservoir Road (Blk 1 35),2,03-08-18
Tampines Street 12 (Blk 163),2,03-08-18
Tampines Street 12 (Blk 164),3,03-08-18
Kaki Bukit Avenue 1,2,03-08-18
Bedok Reservoir Road (Blk 1 27),1,06-08-18
Bedok Reservoir Road (Blk 1 32),4,06-08-18
Bedok Reservoir Road (Blk 1 33),3,06-08-18
Bedok Reservoir Road (Blk 1 34),2,06-08-18
Bedok Reservoir Road (Blk 1 35),2,06-08-18
Bedok Reservoir Road (Blk 6 08),1,06-08-18
Tampines Street 12 (Blk 163),2,06-08-18
Tampines Street 12 (Blk 164),3,06-08-18
Jurong West Street 91 (Blk 947),1,06-08-18
Jurong West Street 91 (Blk 950),1,06-08-18
Kaki Bukit Avenue 1,2,06-08-18
Bedok Reservoir Road (Blk 1 27),1,10-08-18
Bedok Reservoir Road (Blk 1 32),4,10-08-18
Bedok Reservoir Road (Blk 1 33),3,10-08-18
Bedok Reservoir Road (Blk 1 34),2,10-08-18
Bedok Reservoir Road (Blk 1 35),2,10-08-18
Bedok Reservoir Road (Blk 6 08),1,10-08-18
Bedok North Street 3 (Blk 536 ),4,10-08-18
Jurong West Street 91 (Blk 947),1,10-08-18
Jurong West Street 91 (Blk 950),1,10-08-18
Kaki Bukit Avenue 1,2,10-08-18
Whampoa Drive (Blk 9 7),1,10-08-18
Whampoa Drive (Blk 1 01),1,10-08-18
Bedok Reservoir Road (Blk 1 23),1,13-08-18
Bedok Reservoir Road (Blk 1 27),1,13-08-18
Bedok Reservoir Road (Blk 1 32),4,13-08-18
Bedok Reservoir Road (Blk 1 33),3,13-08-18
Bedok Reservoir Road (Blk 1 34),3,13-08-18
Bedok Reservoir Road (Blk 1 35),2,13-08-18
Bedok Reservoir Road (Blk 6 08),1,13-08-18
Bedok North Street 3 (Blk 536 ),5,13-08-18
Jurong West Street 91 (Blk 947),1,13-08-18
Jurong West Street 91 (Blk 950),1,13-08-18
Kaki Bukit Avenue 1,2,13-08-18
Whampoa Drive (Blk 9 7),1,13-08-18
Whampoa Drive (Blk 1 01),1,13-08-18
Bedok Reservoir Road (Blk 1 27),1,17-08-18
Bedok Reservoir Road (Blk 1 32),5,17-08-18
Bedok Reservoir Road (Blk 1 33),3,17-08-18
Bedok Reservoir Road (Blk 1 34),4,17-08-18
Bedok Reservoir Road (Blk 1 35),2,17-08-18
Bedok Reservoir Road (Blk 6 08),1,17-08-18
Bedok Reservoir Road (Blk 6 09A),1,17-08-18
Bedok North Street 3 (Blk 536 ),9,17-08-18
Bedok North Street 3 (Blk 556 ),2,17-08-18
Jurong West Street 91 (Blk 945),1,17-08-18
Jurong West Street 91 (Blk 946),2,17-08-18
Jurong West Street 91 (Blk 947),2,17-08-18
Jurong West Street 91 (Blk 950),1,17-08-18
Cashew Crescent,3,17-08-18
Jalan Sempadan (Villa Marina),2,17-08-18
Lorong 7 Toa Payoh (Blk 8),1,17-08-18
Lorong 7 Toa Payoh (Blk 9),1,17-08-18
Yishun Street 21 (Blk 201),1,17-08-18
Yishun Street 21 (Blk 212),1,17-08-18
Bedok Reservoir Road (Blk 1 23),2,20-08-18
Bedok Reservoir Road (Blk 1 27),1,20-08-18
Bedok Reservoir Road (Blk 1 32),5,20-08-18
Bedok Reservoir Road (Blk 1 33),3,20-08-18
Bedok Reservoir Road (Blk 1 34),4,20-08-18
Bedok Reservoir Road (Blk 1 35),2,20-08-18
Bedok Reservoir Road (Blk 6 08),1,20-08-18
Bedok Reservoir Road (Blk 6 09A),1,20-08-18
Bedok North Street 3 (Blk 536 ),9,20-08-18
Bedok North Street 3 (Blk 556 ),3,20-08-18
Jurong West Street 91 (Blk 945),1,20-08-18
Jurong West Street 91 (Blk 946),2,20-08-18
Jurong West Street 91 (Blk 947),2,20-08-18
Jurong West Street 91 (Blk 950),1,20-08-18
Cashew Crescent,4,20-08-18
Yishun Street 21 (Blk 201),2,20-08-18
Yishun Street 21 (Blk 212),1,20-08-18
Jalan Sempadan (Villa Marina),2,20-08-18
Lorong 7 Toa Payoh (Blk 8),1,20-08-18
Lorong 7 Toa Payoh (Blk 9),1,20-08-18
Bedok North Street 3 (Blk 536 ),11,24-08-18
Bedok North Street 3 (Blk 541 ),1,24-08-18
Bedok North Street 3 (Blk 556 ),3,24-08-18
Jurong West Street 91 (Blk 945),1,24-08-18
Jurong West Street 91 (Blk 946),2,24-08-18
Jurong West Street 91 (Blk 947),3,24-08-18
Jurong West Street 91 (Blk 950),2,24-08-18
Cashew Crescent,4,24-08-18
Jalan Sempadan (Villa Marina),3,24-08-18
Yishun Street 21 (Blk 201),2,24-08-18
Yishun Street 21 (Blk 212),1,24-08-18
Carpmael Road,1,24-08-18
Joo Chiat Road,1,24-08-18
Joo Chiat Road,1,24-08-18
Onan Road,1,24-08-18
Redhill Close (Blk 86 ),1,24-08-18
Redhill Lane (Blk 8 2),1,24-08-18
Bedok North Street 3 (Blk 541 ),1,27-08-18
Bedok North Street 3 (Blk 556 ),3,27-08-18
Jurong West Street 91 (Blk 945),1,27-08-18
Jurong West Street 91 (Blk 946),2,27-08-18
Jurong West Street 91 (Blk 947),4,27-08-18
Jurong West Street 91 (Blk 950),3,27-08-18
Cashew Crescent,5,27-08-18
Whampoa Drive (Blk 9 7),1,27-08-18
Whampoa Drive (Blk 1 00),1,27-08-18
Whampoa Drive (Blk 1 01),1,27-08-18
Whampoa Drive (Blk 1 04),1,27-08-18
Carpmael Road,1,27-08-18
Joo Chiat Road,2,27-08-18
Jalan Sempadan (Villa Marina),3,27-08-18
Yishun Street 21 (Blk 201),2,27-08-18
Yishun Street 21 (Blk 212),1,27-08-18
Joo Chiat Road,1,27-08-18
Onan Road,1,27-08-18
Redhill Close (Blk 86 ),1,27-08-18
Redhill Lane (Blk 8 2),1,27-08-18
Bedok North Street 3 (Blk 536 ),12,31-08-18
Bedok North Street 3 (Blk 537 ),1,31-08-18
Bedok North Street 3 (Blk 541 ),1,31-08-18
Bedok North Street 3 (Blk 556 ),4,31-08-18
Jurong West Street 91 (Blk 940),1,31-08-18
Jurong West Street 91 (Blk 945),1,31-08-18
Jurong West Street 91 (Blk 946),3,31-08-18
Jurong West Street 91 (Blk 947),7,31-08-18
Jurong West Street 91 (Blk 950),6,31-08-18
Cashew Crescent,6,31-08-18
Whampoa Drive (Blk 9 7),1,31-08-18
Whampoa Drive (Blk 9 8),1,31-08-18
Whampoa Drive (Blk 1 00),1,31-08-18
Whampoa Drive (Blk 1 01),1,31-08-18
Whampoa Drive (Blk 1 04),1,31-08-18
Carpmael Road,2,31-08-18
Joo Chiat Road,2,31-08-18
Jalan Sempadan (Villa Marina),4,31-08-18
Henderson Road (Blk 9 2),1,31-08-18
Redhill Close (Blk 86 ),1,31-08-18
Redhill Lane (Blk 8 2),1,31-08-18
Kim Keat Close,2,31-08-18
Kim Keat Lane,1,31-08-18
Yunnan Crescent,2,31-08-18
Bedok North Street 3 (Blk 536 ),12,03-09-18
Bedok North Street 3 (Blk 537 ),2,03-09-18
Bedok North Street 3 (Blk 541 ),1,03-09-18
Bedok North Street 3 (Blk 556 ),4,03-09-18
Jurong West Street 91 (Blk 940),1,03-09-18
Jurong West Street 91 (Blk 945),1,03-09-18
Jurong West Street 91 (Blk 946),3,03-09-18
Jurong West Street 91 (Blk 947),7,03-09-18
Jurong West Street 91 (Blk 949),1,03-09-18
Jurong West Street 91 (Blk 950),7,03-09-18
Cashew Crescent,6,03-09-18
Whampoa Drive (Blk 9 7),1,03-09-18
Whampoa Drive (Blk 9 8),1,03-09-18
Whampoa Drive (Blk 1 00),1,03-09-18
Whampoa Drive (Blk 1 01),1,03-09-18
Whampoa Drive (Blk 1 04),1,03-09-18
Carpmael Road,2,03-09-18
Joo Chiat Road,2,03-09-18
Jalan Sempadan (Villa Marina),4,03-09-18
Henderson Road (Blk 9 2),1,03-09-18
Redhill Close (Blk 8 6),1,03-09-18
Redhill Lane (Blk 8 2),1,03-09-18
Kim Keat Close,2,03-09-18
Kim Keat Lane,1,03-09-18
Lorong 24A Geylang,1,03-09-18
Lorong 26 Geylang (Casa Aerata),1,03-09-18
Lorong 26 Geylang (Rezi 26),1,03-09-18
Yunnan Crescent,2,03-09-18
Jurong West Street 91 (Blk 933),1,07-09-18
Jurong West Street 91 (Blk 940),1,07-09-18
Jurong West Street 91 (Blk 943),1,07-09-18
Jurong West Street 91 (Blk 945),2,07-09-18
Jurong West Street 91 (Blk 946),4,07-09-18
Jurong West Street 91 (Blk 947),8,07-09-18
Jurong West Street 91 (Blk 948),1,07-09-18
Jurong West Street 91 (Blk 949),2,07-09-18
Jurong West Street 91 (Blk 950),16,07-09-18
Jurong West Street 92 (Blk 920),1,07-09-18
Jurong West Street 92 (Blk 928),1,07-09-18
Bedok North Street 3 (Blk 533 ),2,07-09-18
Bedok North Street 3 (Blk 535 ),1,07-09-18
Bedok North Street 3 (Blk 536 ),13,07-09-18
Bedok North Street 3 (Blk 537 ),3,07-09-18
Bedok North Street 3 (Blk 541 ),1,07-09-18
Bedok North Street 3 (Blk 556 ),4,07-09-18
Bedok North Street 3 (Blk 557 ),1,07-09-18
Cashew Crescent,11,07-09-18
Cashew Link,1,07-09-18
Chestnut Drive,1,07-09-18
Balestier Road,1,07-09-18
Kim Keat Close,2,07-09-18
Kim Keat Lane,1,07-09-18
Kim Keat Road (Victo ry Heights),1,07-09-18
Yunnan Crescent,3,07-09-18
Elliot Road,2,07-09-18
Tampines Street 12 (Blk 158),1,07-09-18
Tampines Street 12 (Blk 161),1,07-09-18
Jurong West Street 91 (Blk 940),1,10-09-18
Jurong West Street 91 (Blk 943),1,10-09-18
Jurong West Street 91 (Blk 945),2,10-09-18
Jurong West Street 91 (Blk 946),4,10-09-18
Jurong West Street 91 (Blk 947),9,10-09-18
Jurong West Street 91 (Blk 948),1,10-09-18
Jurong West Street 91 (Blk 949),3,10-09-18
Jurong West Street 91 (Blk 950),17,10-09-18
Jurong West Street 92 (Blk 920),1,10-09-18
Jurong West Street 92 (Blk 928),1,10-09-18
Bedok North Street 3 (Blk 533 ),3,10-09-18
Bedok North Street 3 (Blk 535 ),1,10-09-18
Bedok North Street 3 (Blk 536 ),14,10-09-18
Bedok North Street 3 (Blk 537 ),3,10-09-18
Bedok North Street 3 (Blk 541 ),1,10-09-18
Bedok North Street 3 (Blk 556 ),4,10-09-18
Bedok North Street 3 (Blk 557 ),1,10-09-18
Cashew Crescent,11,10-09-18
Cashew Link,1,10-09-18
Chestnut Drive,1,10-09-18
Balestier Road,1,10-09-18
Kim Keat Close,2,10-09-18
Kim Keat Lane,1,10-09-18
Kim Keat Road (Victo ry Heights),1,10-09-18
Yunnan Crescent,3,10-09-18
Chestnut Drive (near Chestnut Cresent),2,10-09-18
Elliot Road,2,10-09-18
Tampines Street 12 (Blk 158),1,10-09-18
Tampines Street 12 (Blk 161),1,10-09-18
Jurong West Street 91 (Bl k 933),2,14-09-18
Jurong West Street 91 (Bl k 940),1,14-09-18
Jurong West Street 91 (Bl k 943),3,14-09-18
Jurong West Street 91 (Bl k 945),3,14-09-18
Jurong West Street 91 (Bl k 946),5,14-09-18
Jurong West Street 91 (Bl k 947),15,14-09-18
Jurong West Street 91 (Bl k 948),2,14-09-18
Jurong West Street 91 (Bl k 949),5,14-09-18
Jurong West Street 91 (Bl k 950),20,14-09-18
Jurong West Street 91 (Bl k 952),2,14-09-18
Jurong West Street 92 (Bl k 920),1,14-09-18
Jurong West Street 92 (Bl k 928),1,14-09-18
Bedok North Street 3 (Blk 533 ),3,14-09-18
Bedok North Street 3 (Blk 535 ),4,14-09-18
Bedok North Street 3 (Blk 536 ),18,14-09-18
Bedok North Street 3 (Blk 537 ),5,14-09-18
Bedok North Street 3 (Blk 541 ),1,14-09-18
Bedok North Street 3 (Blk 556 ),5,14-09-18
Bedok North Street 3 (Blk 557 ),1,14-09-18
Cashew Crescent,14,14-09-18
Cashew Link,1,14-09-18
Chestnut Drive,1,14-09-18
Balestier Road,1,14-09-18
Kim Keat Close,2,14-09-18
Kim Keat Lane,1,14-09-18
Kim Keat Road (Victo ry Heights),2,14-09-18
Elliot Road,3,14-09-18
Chestnut Drive (near Chestnut Cresent),2,14-09-18
Gangsa Road (Blk 1 66),1,14-09-18
Petir Road (Blk 1 67),1,14-09-18
Jurong West Street 91 (Bl k 933),2,17-09-18
Jurong West Street 91 (Bl k 940),1,17-09-18
Jurong West Street 91 (Bl k 943),4,17-09-18
Jurong West Street 91 (Bl k 944),1,17-09-18
Jurong West Street 91 (Bl k 945),3,17-09-18
Jurong West Street 91 (Bl k 946),5,17-09-18
Jurong West Street 91 (Bl k 947),15,17-09-18
Jurong West Street 91 (Bl k 948),2,17-09-18
Jurong West Street 91 (Bl k 949),5,17-09-18
Jurong West Street 91 (Bl k 950),21,17-09-18
Jurong West Street 91 (Bl k 952),4,17-09-18
Jurong West Street 92 (Bl k 920),1,17-09-18
Jurong West Street 92 (Bl k 928),1,17-09-18
Bedok North Street 3 (Blk 533 ),3,17-09-18
Bedok North Street 3 (Blk 535 ),4,17-09-18
Bedok North Street 3 (Blk 536 ),18,17-09-18
Bedok North Street 3 (Blk 537 ),5,17-09-18
Bedok North Street 3 (Blk 541 ),1,17-09-18
Bedok North Street 3 (Blk 556 ),5,17-09-18
Bedok North Street 3 (Blk 557 ),1,17-09-18
Cashew Crescent,15,17-09-18
Cashew Link,1,17-09-18
Chestnut Drive,1,17-09-18
Balestier Road,1,17-09-18
Kim Keat Close,2,17-09-18
Kim Keat Lane,1,17-09-18
Kim Keat Road (Victo ry Heights),2,17-09-18
Elliot Road,3,17-09-18
Gangsa Road (Blk 1 66),1,17-09-18
Petir Road (Blk 1 67),1,17-09-18
Jurong West Street 91 (Bl k 933),4,21-09-18
Jurong West Street 91 (Bl k 940),1,21-09-18
Jurong West Street 91 (Bl k 943),5,21-09-18
Jurong West Street,1,21-09-18
Jurong West Street 91 (Bl k 945),3,21-09-18
Jurong West Street 91 (Bl k 946),7,21-09-18
Jurong West Street 91 (Bl k 947),16,21-09-18
Jurong West Street 91 (Bl k 948),2,21-09-18
Jurong West Street 91 (Bl k 949),6,21-09-18
Jurong West Street 91 (Bl k 950),21,21-09-18
Jurong West Street 91 (Bl k 952),4,21-09-18
Jurong West Street 92 (Bl k 920),1,21-09-18
Jurong West Street 92 (Bl k 925),1,21-09-18
Jurong West Street 92 (Bl k 928),1,21-09-18
Bedok North Street 3 (Blk 533 ),3,21-09-18
Bedok North Street 3 (Blk 535 ),4,21-09-18
