Location,No. of Cases,Date
Upper Boon Keng Road (Blk 2A),1,10/06/2019
Upper Boon Keng Road (Blk 3B),1,10/06/2019
Upper Boon Keng Road (Blk 5A),1,10/06/2019
Upper Boon Keng Road (Blk 11),1,10/06/2019
Upper Boon Keng Road (Blk 13),1,10/06/2019
Upper Boon Keng Road (Blk 19),1,10/06/2019
Tanah Merah Kechil Avenue (D'Manor),1,10/06/2019
Tanah Merah Kechil Road,2,10/06/2019
Tanah Merah Kechil Road (Casa Merah),1,10/06/2019
Tanah Merah Kechil Road (East Meadows),4,10/06/2019
unnan Drive 1,2,10/06/2019
Yunnan Road,5,10/06/2019
Yunnan Walk 1,2,10/06/2019
Bedok eservoir Road (Blk 643),1,10/06/2019
Jalan Damai (Blk 669),1,10/06/2019
Jalan Tenaga (Blk 647),1,10/06/2019
Jalan Tenaga (Blk 649),1,10/06/2019
Jalan Tenaga (Blk 650),1,10/06/2019
Jalan Tenaga (Blk 654),1,10/06/2019
Jalan Tenaga (Blk 657),1,10/06/2019
Kaki Bukit Crescent,1,10/06/2019
Bedok eservoir Road (Blk 710),4,10/06/2019
Bedok eservoir Road (Blk 711),2,10/06/2019
Bedok eservoir Road (Blk 714),1,10/06/2019
Bedok eservoir Road (Blk 720),1,10/06/2019
Eunos Avenue 4,1,10/06/2019
Eunos Avenue 5,2,10/06/2019
Eunos Avenue 5A,2,10/06/2019
Eunos Avenue 6,1,10/06/2019
Eunos Avenue 7,1,10/06/2019
Eunos Avenue 8A,1,10/06/2019
Hougang Avenue 1 (Blk 108),3,10/06/2019
Hougang Avenue 1 (Blk 172),1,10/06/2019
Hougang Avenue 1 (Blk 115),3,10/06/2019
Hougang Avenue 1 (Blk 167),3,10/06/2019
orong Ah Soo (Blk 128),1,10/06/2019
orong Ah Soo (Blk 135),1,10/06/2019
Upper Changi Road East (Summer Gardens),8,10/06/2019
Ang Mo Kio Avenue 3 (Blk 311),2,10/06/2019
Ang Mo Kio Avenue 3 (Blk 319),1,10/06/2019
Ang Mo Kio Avenue 3 (Blk 327),2,10/06/2019
Ang Mo Kio Avenue 3 (Blk 328),2,10/06/2019
Bedok North Road (Blk 428),3,10/06/2019
Chai Chee Street (Blk 42),1,10/06/2019
Chai Chee Street (Blk 44),3,10/06/2019
Bendemeer Road (Blk 38B),1,10/06/2019
Bendemeer Road (Blk 44),1,10/06/2019
Whampoa East (Eight Riversuites),4,10/06/2019
Compassvale Link (Blk 269B),1,10/06/2019
Compassvale Link (Blk 275B),1,10/06/2019
Compassvale Link (Blk 275C),1,10/06/2019
Compassvale Link (Blk 277A),1,10/06/2019
Sengkang Central (Blk 272B),1,10/06/2019
Tampines Street 21 (Blk 248),1,10/06/2019
Tampines Street 21 (Blk 267),2,10/06/2019
Tampines Street 21 (Blk 268),1,10/06/2019
Tampines Street 21 (Blk 271),2,10/06/2019
Bedok eservoir View (Blk 761),1,10/06/2019
Bedok eservoir View (Blk 763),1,10/06/2019
Bedok eservoir View (Blk 764),2,10/06/2019
Bedok eservoir View (Blk 765),1,10/06/2019
Bedok South Avenue 2 (Blk 6),1,10/06/2019
Bedok South Avenue 2 (Blk 10E),1,10/06/2019
Bedok South Road (Blk 15),1,10/06/2019
Bedok South Road (Blk 19),1,10/06/2019
New Upper Changi Road (Blk 28),1,10/06/2019
Braddell Rise,1,10/06/2019
Lorong 1 Toa Payoh (Blk 113),1,10/06/2019
Lorong 1 Toa Payoh (Blk 114),2,10/06/2019
Toa Payoh North (Blk 207),1,10/06/2019
Bukit Batok West Avenue 9,5,10/06/2019
unos Crescent (Blk 6),1,10/06/2019
unos Crescent (Blk 8),1,10/06/2019
unos Crescent (Blk 10),1,10/06/2019
unos Crescent (Blk 16),1,10/06/2019
Hougang Avenue 1 (Blk 311),1,10/06/2019
Hougang Avenue 5 (Blk 313),2,10/06/2019
Hougang Avenue 7>br/> (Blk 316),1,10/06/2019
Hougang Avenue 7>br/> (Blk 317),1,10/06/2019
Jalan Setia,3,10/06/2019
Joo Seng Road (Blk 9),1,10/06/2019
Joo Seng Road (Blk 11),1,10/06/2019
Lorong 7 Toa Payoh (Blk 7),1,10/06/2019
Lorong 7 Toa Payoh (Blk 15),1,10/06/2019
Lorong 8 Toa Payoh (Blk 11),1,10/06/2019
Lorong 8 Toa Payoh (Blk 232),1,10/06/2019
Lorong 8 Toa Payoh (Blk 233),1,10/06/2019
Pasir Ris Street 21 (Blk 203),1,10/06/2019
Pasir Ris Street 21 (Blk 204),1,10/06/2019
Pasir Ris Street 21 (Blk 210),1,10/06/2019
Pasir Ris Street 21 (Blk 213),1,10/06/2019
Pasir Ris Street 21 (Blk 215),1,10/06/2019
Punggol Central (Blk 645),1,10/06/2019
Punggol Drive (Blk 641A),1,10/06/2019
Punggol Drive (Blk 663A),1,10/06/2019
Punggol Drive (Blk 663B),1,10/06/2019
Ubi Avenue 1 (Blk 324),1,10/06/2019
Ubi Avenue 1 (Blk 325),1,10/06/2019
Ubi Avenue 1 (Blk 327),1,10/06/2019
Ubi Avenue 1 (Blk 334),1,10/06/2019
Ubi Avenue 1 (Blk 338),1,10/06/2019
Ang Mo Kio Avenue 4 (Blk 610),1,10/06/2019
Ang Mo Kio Avenue 4 (Blk 612),1,10/06/2019
Ang Mo Kio Avenue 4 (Blk 619),1,10/06/2019
Ang Mo Kio Avenue 5 (Blk 606),1,10/06/2019
Balam Road (Blk 20),1,10/06/2019
Balam Road (Blk 22),1,10/06/2019
Balam Road (Blk 28),1,10/06/2019
Circuit Road (Blk 18C),1,10/06/2019
Begonia Drive,3,10/06/2019
Yio Chu Kang Road,1,10/06/2019
Boon Lay Avenue (Blk 185),1,10/06/2019
Boon Lay Drive (Blk 175),1,10/06/2019
Boon Lay Drive (Blk 176),1,10/06/2019
Boon Lay Drive (Blk 178),1,10/06/2019
Changi Road,1,10/06/2019
Jalan Eunos,2,10/06/2019
Kampong Eunos,1,10/06/2019
Choa Chu Kang North 6 (Blk 637),1,10/06/2019
Choa Chu Kang Street 64 (Blk 639),2,10/06/2019
Choa Chu Kang Street 64 (Blk 642),1,10/06/2019
ommonwealth Crescent (Blk 98),1,10/06/2019
ommonwealth Crescent (Blk 99),1,10/06/2019
ommonwealth Drive (Blk 94),1,10/06/2019
Holland Avenue (Blk 10),1,10/06/2019
Holland Close (Blk 4),2,10/06/2019
Holland Close (Blk 5),1,10/06/2019
Hougang Avenue 3 (Blk 246),1,10/06/2019
Hougang Avenue 3 (Blk 247),1,10/06/2019
Hougang Avenue 3 (Blk 250),1,10/06/2019
Hougang Avenue 3 (Blk 251),1,10/06/2019
Hougang Avenue 5 (Blk 308),1,10/06/2019
Hougang Avenue 5 (Blk 320),1,10/06/2019
Hougang Avenue 5 (Blk 321),1,10/06/2019
Hougang Avenue 5 (Blk 322),1,10/06/2019
Lorong 6 Realty Park,3,10/06/2019
Lorong 7 Realty Park,1,10/06/2019
Lorong Lew Lian (Blk 7),1,10/06/2019
Serangoon Central (Blk 424),2,10/06/2019
Serangoon Central (Blk 427),1,10/06/2019
Miltonia Close,3,10/06/2019
Miltonia Close (Skies Miltonia),1,10/06/2019
Pasir Ris Street 11 (Blk 111),1,10/06/2019
Pasir Ris Street 11 (Blk 117),1,10/06/2019
Pasir Ris Street 11 (Blk 120),1,10/06/2019
Paya Lebar Way (Blk 91),1,10/06/2019
Pipit Road (Blk 55),1,10/06/2019
Pipit Road (Blk 92),1,10/06/2019
Pipit Road (Blk 92A),1,10/06/2019
Pending Road (Blk 223),1,10/06/2019
Pending Road (Blk 225),1,10/06/2019
Pending Road (Blk 226),1,10/06/2019
Pending Road (Blk 233),1,10/06/2019
Pheng Geck Avenue (Sant Ritz),1,10/06/2019
Puay Hee Avenue,2,10/06/2019
Tai Thong Crescent (The Venue Residences),1,10/06/2019
Rose Lane,1,10/06/2019
Rose Lane (Estique),2,10/06/2019
Tanjong Katong Road,1,10/06/2019
Serangoon orth Avenue 4 (Blk 520),1,10/06/2019
Serangoon orth Avenue 4 (Blk 521),1,10/06/2019
Serangoon orth Avenue 4 (Blk 534),2,10/06/2019
Shunfu Road (Blk 307),1,10/06/2019
Shunfu Road (Blk 309),1,10/06/2019
Shunfu Road (Blk 312),1,10/06/2019
Shunfu Road (Blk 316),1,10/06/2019
Siglap Rise,1,10/06/2019
Siglap Walk,1,10/06/2019
Yishun Ring Road (Blk 114),3,10/06/2019
Yishun Ring Road (Blk 117),1,10/06/2019
Admiralty Drive (Blk 469),1,10/06/2019
Admiralty Drive (Blk 469A),1,10/06/2019
Admiralty Drive (Blk 469B),1,10/06/2019
Bedok North Road (Blk 125),1,10/06/2019
Bedok North Street 2 (Blk 127),2,10/06/2019
Bedok eservoir Road (Blk 130),1,10/06/2019
Bedok eservoir Road (Blk 138),1,10/06/2019
Bedok eservoir Road (Blk 140),1,10/06/2019
Bedok eservoir View (Blk 769),2,10/06/2019
Bedok eservoir View (Blk 712),1,10/06/2019
Choa Chu Kang North 6 (Blk 556),1,10/06/2019
Choa Chu Kang North 6 (Blk 559),1,10/06/2019
Choa Chu Kang Street 52 (Blk 574),1,10/06/2019
Choa Chu Kang Street 51 (Blk 504),1,10/06/2019
Choa Chu Kang Street 51 (Blk 506),1,10/06/2019
Choa Chu Kang Street 51 (Blk 514),1,10/06/2019
Elite Park Avenue,1,10/06/2019
Jalan Jamal,1,10/06/2019
unos Crescent (Blk 18),1,10/06/2019
unos Crescent (Blk 24),1,10/06/2019
Everitt Road (Lotus at Joo Chiat),1,10/06/2019
Joo Chiat Lane,1,10/06/2019
Mangis Road,1,10/06/2019
Flora Road (Azalea Park Condominium),1,10/06/2019
Loyang Rise,2,10/06/2019
Hougang Avenue 1 (Blk 174B),1,10/06/2019
Hougang Avenue 1 (Blk 174C),2,10/06/2019
Hougang Avenue 3 (Blk 16),1,10/06/2019
Hougang Avenue 3 (Blk 18),1,10/06/2019
ougang Street 31 (Blk 372),1,10/06/2019
Jalan Chengam,1,10/06/2019
Jalan Leban,1,10/06/2019
Jalan Kuras,1,10/06/2019
Jurong West Street 52 (Blk 528),1,10/06/2019
Jurong West Street 52 (Blk 529),1,10/06/2019
Jurong West Street 52 (Blk 530),1,10/06/2019
Lengkong Satu,1,10/06/2019
Lengkong Empat,2,10/06/2019
Lorong How Sun (Bartley Residences),3,10/06/2019
Loyang Rise,1,10/06/2019
Loyang View,1,10/06/2019
Mariam Way,1,10/06/2019
Marsiling Rise (Blk 120),1,10/06/2019
Woodlands Street 13 (Blk 110),2,10/06/2019
Pasir Ris Street 71 (Blk 776),1,10/06/2019
Pasir Ris Street 71 (Blk 777),1,10/06/2019
Petir Road (Blk 167),2,10/06/2019
Petir Road (MaySprings),1,10/06/2019
Potong Pasir Avenue 1 (Blk 108),1,10/06/2019
Potong Pasir Avenue 1 (Blk 122),1,10/06/2019
Woodleigh Close (Parc Mondrian),1,10/06/2019
Tampines Avenue 4 (Blk 811),1,10/06/2019
Tampines Street 81 (Blk 814),1,10/06/2019
Tampines Street 91 (Blk 933),1,10/06/2019
Tampines Street 21 (Blk 262),1,10/06/2019
Tampines Street 23 (Blk 216),1,10/06/2019
Tampines Street 23 (Blk 217),1,10/06/2019
Tampines Street 32 (Blk 384),1,10/06/2019
Tampines Street 34 (The Eden at Tampines),2,10/06/2019
Teck Whye Lane (Blk 18),1,10/06/2019
Teck Whye Lane (Blk 108),1,10/06/2019
Teck Whye Lane (Blk 109),1,10/06/2019
Trevose Crescent (Trevose Park),3,10/06/2019
Ubi Avenue 1 (Blk 311),1,10/06/2019
Ubi Avenue 1 (Blk 318),1,10/06/2019
Woodlands Street 81 (Blk 802),2,10/06/2019
Woodlands Street 81 (Blk 806),1,10/06/2019
mber Gardens (King's Mansion),1,10/06/2019
Amber Road (King's Mansion),1,10/06/2019
Amber Road The Sea View),1,10/06/2019
Amber Road (The Shore Residences),1,10/06/2019
Ang Mo Kio Avenue 1 (Blk 218),1,10/06/2019
Ang Mo Kio Avenue 1 (Blk 220),1,10/06/2019
Ang Mo Kio Avenue 1 (Blk 308A),2,10/06/2019
Ang Mo Kio Avenue 5 (Blk 523),1,10/06/2019
Ang Mo Kio Street 52 (Blk 596A),1,10/06/2019
ngklong Lane (Faber Garden Condominium),1,10/06/2019
Sin Ming Walk (The Gardens at Bishan),1,10/06/2019
Bedok North Avenue 4 (Blk 100),1,10/06/2019
Bedok North Avenue 4 (Blk 102),1,10/06/2019
Bedok North Road (Blk 74),1,10/06/2019
Bedok North Road (Blk 181),1,10/06/2019
Bedok North Street 4 (Blk 84),1,10/06/2019
Bedok North Street 4 (Blk 90),1,10/06/2019
Bedok South Road,2,10/06/2019
Bishan Street 24 (Blk 286),1,10/06/2019
Bukit Batok Street 31 (Blk 347),1,10/06/2019
Bukit Batok Street 51 (Blk 532),1,10/06/2019
Bukit Batok West Avenue 8 (Blk 169),1,10/06/2019
Bukit Batok West Avenue 8 (Blk 172),1,10/06/2019
Chai Chee Avenue (Blk 35),1,10/06/2019
Chai Chee Avenue (Blk 37),1,10/06/2019
Changi Road,1,10/06/2019
Geylang Serai (Blk 2A),1,10/06/2019
Choa Chu Kang Ave 4 (Blk 444),2,10/06/2019
Choa Chu ang Avenue 4 (Blk 464),1,10/06/2019
Choa Chu ang Avenue 5 (Blk 476B),1,10/06/2019
Circuit Road (Blk 37),1,10/06/2019
Circuit Road (Blk 65),1,10/06/2019
Circuit Road (Blk 49),1,10/06/2019
Circuit Road (Blk 50),1,10/06/2019
Delta Avenue (Blk 2),1,10/06/2019
Delta Avenue (Blk 4),1,10/06/2019
Fernvale Road (Blk 410C),1,10/06/2019
Fernvale Road (Blk 411B),1,10/06/2019
rankel Terrace,1,10/06/2019
Jalan Kembangan (The Trumps),1,10/06/2019
Hooper Road,2,10/06/2019
ougang Street 51 (Blk 568),1,10/06/2019
Jalan Angin Laut,2,10/06/2019
Jalan Bukit Ho Swee (Blk 32),1,10/06/2019
Jalan Bukit Ho Swee (Blk 34),1,10/06/2019
Jalan Sedap,2,10/06/2019
Jurong West Street 42 (Blk 411),1,10/06/2019
Jurong West Street 42 (Blk 412),1,10/06/2019
Lorong 1 Toa Payoh (Blk 98),1,10/06/2019
Lorong 1 Toa Payoh (Blk 105),1,10/06/2019
Lorong 1 Toa Payoh (Oleander Towers),1,10/06/2019
Lorong 2 Toa Payoh (Blk 147),1,10/06/2019
Lorong 40 Geylang (The Sunny Spring),2,10/06/2019
Lorong 7 Toa Payoh (Blk 1),1,10/06/2019
Lorong 8 Toa Payoh (Blk 212),1,10/06/2019
orong Melayu (Palmera East),1,10/06/2019
Lorong Marzuki,1,10/06/2019
Mackenzie Road (Mackenzie Regency),1,10/06/2019
Mount Emily Road (Parc Emily),1,10/06/2019
asir Ris Grove (D'Nest),1,10/06/2019
asir Ris Grove (The Palette),1,10/06/2019
Pasir Ris Street 11 (Blk(140),1,10/06/2019
Pasir Ris Street 12 (Blk 188),1,10/06/2019
Pasir Ris Street 21 (Blk 229),1,10/06/2019
Rivervale Link (Park Green),1,10/06/2019
Sengkang East Avenue (Austville Residences),1,10/06/2019
Rivervale Street (Blk 132),1,10/06/2019
Rivervale Street (Blk 139),1,10/06/2019
Serangoon Avenue 2 (Blk 305),1,10/06/2019
Serangoon Avenue 2 (Blk 315),1,10/06/2019
Serangoon Road,1,10/06/2019
Saint Michael's Road (One St. Michael's),1,10/06/2019
Tah Ching Road (Blk 337B),1,10/06/2019
Yung An Road (Blk 358),1,10/06/2019
Tampines Street 43 (Blk 494E),1,10/06/2019
Tampines Street 45 (Blk 491G),1,10/06/2019
Towner Road (Blk 101),1,10/06/2019
Towner Road (Blk 105),1,10/06/2019
Vernon Park,2,10/06/2019
Yishun Avenue 9 (Blk 317C),1,10/06/2019
Yishun Avenue 9 (Nine Residences),1,10/06/2019
Woodlands Avenue 6 (Blk 718),1,14/06/2019
Woodlands Avenue 6 (Blk 719),1,14/06/2019
Woodlands Avenue 6 (Blk 720),1,14/06/2019
Woodlands Avenue 6 (Blk 724),1,14/06/2019
Woodlands Avenue 6 (Blk 725),1,14/06/2019
Woodlands Avenue 6 (Blk 762),1,14/06/2019
Woodlands Avenue 6 (Blk 788),13,14/06/2019
Woodlands Avenue 6 (Blk 789),4,14/06/2019
Woodlands Avenue 6 (Blk 790),13,14/06/2019
Woodlands Avenue 6 (Blk 791),5,14/06/2019
Woodlands Avenue 6 (Blk 792),4,14/06/2019
Woodlands Avenue 6 (Blk 793),4,14/06/2019
Woodlands Circle (Blk 721),2,14/06/2019
Woodlands Circle (Blk 726),11,14/06/2019
Woodlands Circle (Blk 727),4,14/06/2019
Woodlands Circle (Blk 728),2,14/06/2019
Woodlands Circle (Blk 729),2,14/06/2019
Woodlands Circle (Blk 731),2,14/06/2019
Woodlands Circle (Blk 732),3,14/06/2019
Woodlands Circle (Blk 733),4,14/06/2019
Woodlands Circle (Blk 735),1,14/06/2019
Woodlands Circle (Blk 738),1,14/06/2019
Woodlands Circle (Blk 744),1,14/06/2019
Woodlands Circle (Blk 766),1,14/06/2019
Woodlands Circle (Blk 767),2,14/06/2019
Woodlands Crescent (Blk 777),1,14/06/2019
Woodlands Crescent (Blk 780F),1,14/06/2019
Woodlands Crescent (Blk 787B),6,14/06/2019
Woodlands Crescent (Blk 787C),3,14/06/2019
Woodlands Crescent (Blk 787D),6,14/06/2019
Woodlands Crescent (Blk 787E),6,14/06/2019
Woodlands Crescent (Blk 788B),1,14/06/2019
Woodlands Crescent (Blk 788C),3,14/06/2019
Woodlands Crescent (Blk 788D),9,14/06/2019
Woodlands Crescent (Blk 788E),7,14/06/2019
Woodlands Drive 40 (Blk 701),2,14/06/2019
Woodlands Drive 60 (Blk 769),2,14/06/2019
Woodlands Drive 60 (Blk 770),2,14/06/2019
Woodlands Drive 60 (Blk 772),1,14/06/2019
Woodlands Drive 60 (Blk 773),1,14/06/2019
Woodlands Drive 60 (Blk 786B),3,14/06/2019
Woodlands Drive 60 (Blk 786C),1,14/06/2019
Woodlands Drive 60 (Blk 786D),1,14/06/2019
Woodlands Drive 70 (Blk 715),1,14/06/2019
Woodlands Drive 70 (Blk 716),1,14/06/2019
Woodlands Drive 70 (Blk 717),1,14/06/2019
Woodlands Drive 72 (Blk 794),12,14/06/2019
Woodlands Drive 72 (Blk 795),2,14/06/2019
Woodlands Drive 72 (Blk 796),20,14/06/2019
Woodlands Drive 72 (Blk 797),13,14/06/2019
Woodlands Drive 72 (Blk 798),19,14/06/2019
Geylang Road,11,14/06/2019
Guillemard Road,9,14/06/2019
Lorong 4 Geylang,5,14/06/2019
Lorong 6 Geylang,19,14/06/2019
Lorong 7 Geylang,2,14/06/2019
Lorong 8 Geylang,11,14/06/2019
Lorong 9 Geylang,2,14/06/2019
Lorong 10 Geylang,1,14/06/2019
Lorong 12 Geylang,5,14/06/2019
Lorong 13 Geylang,8,14/06/2019
Lorong 14 Geylang,18,14/06/2019
Lorong 15 Geylang,1,14/06/2019
Lorong 16 Geylang,15,14/06/2019
Lorong 17 Geylang,2,14/06/2019
Lorong 18 Geylang,3,14/06/2019
Lorong 19 Geylang,6,14/06/2019
Lorong 20 Geylang,13,14/06/2019
Lorong 23 Geylang,9,14/06/2019
Sims Avenue,9,14/06/2019
Westerhout Road,10,14/06/2019
Jalan Lembah Thomson,14,14/06/2019
Jalan Pelatina,18,14/06/2019
Soo Chow Drive,1,14/06/2019
Soo Chow Garden Road,1,14/06/2019
oo Chow Rise,1,14/06/2019
Soo Chow View,1,14/06/2019
oo Chow Way,3,14/06/2019
aman Permata,50,14/06/2019
homson Ridge,28,14/06/2019
Upper Thomson Road (Lakeview),9,14/06/2019
Chai Chee Avenue (Blk 29),1,14/06/2019
Chai Chee Avenue (Blk 29A),3,14/06/2019
Chai Chee Avenue (Blk 32),2,14/06/2019
Chai Chee Drive (Blk 55),54,14/06/2019
Chai Chee Drive (Blk 56),17,14/06/2019
Chai Chee Drive (Blk 58),3,14/06/2019
Chai Chee Lane,2,14/06/2019
Chai Chee Road,1,14/06/2019
Chai Chee Road (Blk 2),3,14/06/2019
Chai Chee Road (Blk 19),3,14/06/2019
Chai Chee Road (Blk 20),1,14/06/2019
Chai Chee Road (Blk 21),2,14/06/2019
Chai Chee Road (Blk 24),1,14/06/2019
Chai Chee Road (Blk 25),1,14/06/2019
Chai Chee Road (Blk 27),3,14/06/2019
Chai Chee Road (Blk 59),3,14/06/2019
Chai Chee Road (Blk 61),6,14/06/2019
Chai Chee Road (Blk 62),2,14/06/2019
Chai Chee Road (Blk 63),6,14/06/2019
Chai Chee Road (Blk 803),1,14/06/2019
Chai Chee Road (Blk 804),1,14/06/2019
Chai Chee Road (Blk 805),4,14/06/2019
Chai Chee Road (Blk 808C),1,14/06/2019
Chai Chee Street,1,14/06/2019
Pasir Ris Drive 3 (Eastvale Condominium),8,14/06/2019
Pasir Ris Drive 4 (Blk 478),1,14/06/2019
Pasir Ris Drive 4 (Blk 480),1,14/06/2019
Pasir Ris Drive 4 (Blk 481),1,14/06/2019
Pasir Ris Drive 6 (Blk 405),3,14/06/2019
Pasir Ris Drive 6 (Blk 406),1,14/06/2019
Pasir Ris Drive 6 (Blk 408),3,14/06/2019
Pasir Ris Drive 6 (Blk 409),3,14/06/2019
Pasir Ris Drive 6 (Blk 411),5,14/06/2019
Pasir Ris Drive 6 (Blk 412),2,14/06/2019
Pasir Ris Drive 6 (Blk 413),3,14/06/2019
Pasir Ris Drive 6 (Blk 414),1,14/06/2019
Pasir Ris Drive 6 (Blk 415),2,14/06/2019
Pasir Ris Drive 6 (Blk 416),4,14/06/2019
Pasir Ris Drive 6 (Blk 417),1,14/06/2019
Pasir Ris Drive 6 (Blk 418),4,14/06/2019
Pasir Ris Drive 6 (Blk 419),1,14/06/2019
Pasir Ris Drive 6 (Blk 420),4,14/06/2019
Pasir Ris Drive 6 (Blk 421),3,14/06/2019
Pasir Ris Drive 6 (Blk 423),2,14/06/2019
Pasir Ris Drive 6 (Blk 467),5,14/06/2019
Pasir Ris Drive 6 (Blk 468),8,14/06/2019
Pasir Ris Drive 6 (Blk 469),4,14/06/2019
Pasir Ris Drive 6 (Blk 470),4,14/06/2019
Pasir Ris Drive 6 (Blk 472),1,14/06/2019
Pasir Ris Drive 6 (Blk 473),2,14/06/2019
Pasir Ris Drive 6 (Blk 474),3,14/06/2019
Pasir Ris Drive 6 (Blk 476),1,14/06/2019
Aljunied Road,3,14/06/2019
Geylang Road,9,14/06/2019
Guillemard Road,7,14/06/2019
Jalan Molek,4,14/06/2019
Jalan Suka,5,14/06/2019
Lorong 22 Geylang,6,14/06/2019
Lorong 24 Geylang,4,14/06/2019
Lorong 25 Geylang,1,14/06/2019
Lorong 25A Geylang,2,14/06/2019
Lorong 26 Geylang,8,14/06/2019
Lorong 27 Geylang,1,14/06/2019
Lorong 27A Geylang,3,14/06/2019
Lorong 28 Geylang,8,14/06/2019
Lorong 29 Geylang,3,14/06/2019
Lorong 30 Geylang,4,14/06/2019
Lorong 31 Geylang,3,14/06/2019
Lorong 32 Geylang,6,14/06/2019
Lorong 33 Geylang,2,14/06/2019
Lorong 34 Geylang,4,14/06/2019
Changi Road,1,14/06/2019
Joo Chiat Avenue,10,14/06/2019
oo Chiat Place,13,14/06/2019
Joo Chiat Walk,10,14/06/2019
orong G Telok Kurau,9,14/06/2019
orong G Telok Kurau (East Bay Gardens),2,14/06/2019
orong H Telok Kurau,8,14/06/2019
Lorong J Telok Kurau,6,14/06/2019
orong K Telok Kurau,2,14/06/2019
Jurong East Avenue 1 (Blk 240A),1,14/06/2019
Jurong East Street 21 (Blk 212),2,14/06/2019
Jurong East Street 21 (Blk 213),1,14/06/2019
Jurong East Street 21 (Blk 230),1,14/06/2019
Jurong East Street 21 (Blk 231),2,14/06/2019
Jurong East Street 21 (Blk 233),2,14/06/2019
Jurong East Street 21 (Blk 234),1,14/06/2019
Jurong East Street 21 (Blk 237),1,14/06/2019
Jurong East Street 21 (Blk 238),8,14/06/2019
Jurong East Street 21 (Blk 239),2,14/06/2019
Jurong East Street 21 (Blk 240),1,14/06/2019
Jurong East Street 24 (Blk 241),1,14/06/2019
Jurong East Street 24 (Blk 246),5,14/06/2019
Jurong East Street 24 (Blk 247),4,14/06/2019
Jurong East Street 24 (Blk 248),6,14/06/2019
Jurong East Street 24 (Blk 249),4,14/06/2019
Jurong East Street 24 (Blk 250),5,14/06/2019
Jurong East Street 24 (Blk 251),1,14/06/2019
Jurong East Street 24 (Blk 252),6,14/06/2019
Jurong East Street 24 (Blk 257),2,14/06/2019
Jurong East Street 24 (Blk 261),2,14/06/2019
Jurong East Street 24 (Blk 264),1,14/06/2019
Woodlands Avenue 4 (Blk 610),1,14/06/2019
Woodlands Avenue 4 (Blk 612),1,14/06/2019
Woodlands Drive 42 (Blk 601),2,14/06/2019
Woodlands Drive 42 (Blk 602),2,14/06/2019
Woodlands Drive 42 (Blk 604),2,14/06/2019
Woodlands Drive 50 (Blk 895A),1,14/06/2019
Woodlands Drive 50 (Blk 896A),1,14/06/2019
Woodlands Drive 50 (Blk 896C),3,14/06/2019
Woodlands Drive 50 (Blk 897A),2,14/06/2019
Woodlands Drive 50 (Blk 898A),3,14/06/2019
Woodlands Drive 50 (Blk 898B),1,14/06/2019
Woodlands Drive 50 (Blk 899A),1,14/06/2019
Woodlands Drive 50 (Blk 899B),2,14/06/2019
Woodlands Drive 50 (Blk 899C),4,14/06/2019
Woodlands Ring Road (Blk 606),1,14/06/2019
Woodlands Ring Road (Blk 607),3,14/06/2019
Woodlands Ring Road (Blk 609),1,14/06/2019
Woodlands Ring Road (Blk 611),2,14/06/2019
Woodlands Ring Road (Blk 652),1,14/06/2019
Woodlands Ring Road (Blk 655),1,14/06/2019
Woodlands Ring Road (Blk 656),2,14/06/2019
Woodlands Ring Road (Blk 658),1,14/06/2019
Woodlands Ring Road (Blk 665),3,14/06/2019
Woodlands Ring Road (Blk 666),2,14/06/2019
Woodlands Ring Road (Blk 667),1,14/06/2019
Woodlands Ring Road (Blk 668),1,14/06/2019
Woodlands Ring Road (Blk 669),6,14/06/2019
Bedok North Avenue 1 (Blk 519),3,14/06/2019
Bedok North Avenue 1 (Blk 520),2,14/06/2019
Bedok North Avenue 1 (Blk 521),2,14/06/2019
Bedok North Avenue 1 (Blk 522),3,14/06/2019
Bedok North Avenue 1 (Blk 550),1,14/06/2019
Bedok North Avenue 1 (Blk 552),3,14/06/2019
Bedok North Avenue 2 (Blk 512),2,14/06/2019
Bedok North Avenue 2 (Blk 514),1,14/06/2019
Bedok North Avenue 2 (Blk 515),3,14/06/2019
Bedok North Avenue 2 (Blk 516),1,14/06/2019
Bedok North Avenue 2 (Blk 517),3,14/06/2019
Bedok North Avenue 2 (Blk 518),2,14/06/2019
Bedok North Street 3 (Blk 510),2,14/06/2019
Bedok North Street 3 (Blk 539),1,14/06/2019
Bedok North Street 3 (Blk 544),3,14/06/2019
Bedok North Street 3 (Blk 547),3,14/06/2019
Bedok North Street 3 (Blk 554),1,14/06/2019
Jalan Eunos,1,14/06/2019
Jalan Ismail,2,14/06/2019
Jalan Kechot,7,14/06/2019
Jalan Rahmat,1,14/06/2019
Jalan Yasin,8,14/06/2019
Lorong Marican,3,14/06/2019
Lorong Marzuki,6,14/06/2019
orong Melayu,1,14/06/2019
Lorong Sarina,7,14/06/2019
Lorong Sarina (Casa Sarina),2,14/06/2019
Aljunied Avenue 2 (Blk 115),1,14/06/2019
Aljunied Avenue 2 (Blk 119),2,14/06/2019
Aljunied Crescent (Blk 98),1,14/06/2019
Aljunied Crescent (Blk 103),2,14/06/2019
Aljunied Crescent (Blk 105),1,14/06/2019
Aljunied Crescent (Blk 109),3,14/06/2019
Aljunied Crescent (Blk 110),12,14/06/2019
Aljunied Crescent (Blk 111),6,14/06/2019
