Location,No. of Cases,Date
Yunnan Walk 1,2,11/01/2019
Yunnan Walk 2,1,11/01/2019
Hougang Avenue 5 (Blk 308),3,11/01/2019
Hougang Avenue 5 (Blk 319),1,11/01/2019
Hougang Avenue 5 (Blk 320),1,11/01/2019
Hougang Avenue 5 (Blk 322),1,11/01/2019
Hougang Avenue 5 (Blk 324),1,11/01/2019
Alexandra Road (The Anchorage),6,11/01/2019
Barbary Walk,1,11/01/2019
Queensway (Blk 168A),3,11/01/2019
Stirling Rd,2,11/01/2019
Stirling Road (Blk 171),1,11/01/2019
Cashew Road (Cashew Heights),5,11/01/2019
Gangsa Road (Blk 153),3,11/01/2019
Gangsa Road (Blk 154),2,11/01/2019
Hazel Park Terrace (Hazel Park Condominium),3,11/01/2019
Jalan Damai (Blk 667),2,11/01/2019
Jalan Tenaga (Blk 651),1,11/01/2019
Jalan Tenaga (Blk 652),1,11/01/2019
Jalan Tenaga (Blk 654),2,11/01/2019
Jalan Tenaga (Blk 655),1,11/01/2019
Jalan Tenaga (Blk 658),1,11/01/2019
Jurong West Street 91 (Blk 909),1,11/01/2019
Jurong West Street 91 (Blk 910),1,11/01/2019
Jurong West Street 91 (Blk 913),2,11/01/2019
Jurong West Street 91 (Blk 914),3,11/01/2019
Jurong West Street 91 (Blk 934),1,11/01/2019
Jurong West Street 92 (Blk 932),1,11/01/2019
Hougang Avenue 6 (Blk 524),1,11/01/2019
Hougang Avenue 6 (Blk 528),1,11/01/2019
Hougang Avenue 6 (Blk 529),1,11/01/2019
Hougang Avenue 6 (Blk 530),1,11/01/2019
Hougang Avenue 6 (Blk 531),2,11/01/2019
Bedok Avenue,1,11/01/2019
Bedok Garden,2,11/01/2019
Bedok Road,1,11/01/2019
Bedok Road (Country Park Condominium),1,11/01/2019
Jalan Bilal,1,11/01/2019
Jalan Kathi,1,11/01/2019
Woodlands Crescent (Blk 776),1,11/01/2019
Woodlands Crescent (Blk 777),2,11/01/2019
Woodlands Crescent (Blk 780A),1,11/01/2019
Woodlands Drive 60 (Blk 778),3,11/01/2019
Simei Street 4 (Blk 223),2,11/01/2019
Simei Street 4 (Simei Green Condominium),2,11/01/2019
Sunbird Circle,1,11/01/2019
Yishun Avenue 4 (Blk 508B),1,11/01/2019
Yishun Street 81 (Blk 866),1,11/01/2019
Yishun Street 81 (Blk 867),1,11/01/2019
Yishun Street 81 (Blk 868),3,11/01/2019
Yishun Avenue 5 (Blk 703),2,11/01/2019
Yishun Avenue 5 (Blk 706),1,11/01/2019
Yishun Avenue 5 (Blk 708),1,11/01/2019
Yishun Avenue 5 (Blk 734),1,11/01/2019
Yishun Street 72 (Blk 738),1,11/01/2019
Jalan Tenaga (Blk 648),1,11/01/2019
Jalan Kuang,1,11/01/2019
Jalan Pergam,2,11/01/2019
Upper Changi Road East,2,11/01/2019
Jalan Sayang,1,11/01/2019
Jalan Selamat,3,11/01/2019
Jalan Senyum,1,11/01/2019
Mergui Road (Mergui Mansions),3,11/01/2019
Mergui Road (Pristine Heights),1,11/01/2019
Bright Hill Drive (Thomson Three),1,11/01/2019
Lorong Puntong (Country Esquire),1,11/01/2019
Sin Ming Avenue (Blk 454),1,11/01/2019
Cashew Road (Cashew Parkk Condominium),2,11/01/2019
Chestnut Gardens,1,11/01/2019
Edgedale Plains (Blk 109D),1,11/01/2019
Edgedale Plains (Blk 121A),1,11/01/2019
Edgefield Plains (Blk 115),1,11/01/2019
Hougang Avenue 8 (Blk 642),1,11/01/2019
Hougang Avenue 8 (Blk 643),2,11/01/2019
Jurong West Street 93 (Blk 989C),1,11/01/2019
Jurong West Street 93 (Blk 989D),2,11/01/2019
Kaki Bukit Avenue 3,3,11/01/2019
MacPherson Road,1,11/01/2019
Siak Kew Avenue,2,11/01/2019
Tampines Street 33 (Blk 312),1,11/01/2019
Tampines Street 33 (Blk 316),2,11/01/2019
Tanah Merah Kechil Avenue (D' Manor),1,11/01/2019
Woodlands Circle (Blk 734),1,11/01/2019
Woodlands Circle (Blk 741),1,11/01/2019
Woodlands Circle (Blk 742),1,11/01/2019
Bedok Road,1,11/01/2019
Bedok Ria Cresent,1,11/01/2019
Bedok Reservoir Road (Blk 106),1,11/01/2019
Bedok Reservoir Road (Blk 110),1,11/01/2019
Buangkok Cresent (Blk 979A),1,11/01/2019
Buangkok Green (Blk 987A),1,11/01/2019
Clementi Avenue 4 (Blk 303),1,11/01/2019
Clementi Avenue 4 (Blk 311C),1,11/01/2019
Hougang Street 22 (Blk 246),1,11/01/2019
Jelapang Road (Blk 504),1,11/01/2019
Jelapang Road (Blk 522),1,11/01/2019
Jurong West Street 64 (Blk 677C),1,11/01/2019
Jurong West Street 64 (Blk 678A),1,11/01/2019
Jurong West Street 73 (Blk 743),1,11/01/2019
Jurong West Street 73 (Blk 744),1,11/01/2019
Seagull Walk,2,11/01/2019
Serangoon North Avenue 4 (Blk 517),1,11/01/2019
Serangoon North Avenue 4 (Blk 524),1,11/01/2019
Sin Ming Drive,2,11/01/2019
Ubi Avenue 1 (Blk 311),1,11/01/2019
Ubi Avenue 1 (Blk 316),1,11/01/2019
Yishun Avenue 4 (Blk 861),1,11/01/2019
Yishun Avenue 4 (Blk 863),1,11/01/2019
Yishun Ring Road (Blk 237),1,11/01/2019
Yishun Street 22 (Blk 259),1,11/01/2019
Bedok Reservoir Road (Blk 122),1,14/01/2019
Bedok Reservoir Road (Blk 124),1,14/01/2019
Bedok Reservoir Road (Blk 128),6,14/01/2019
Bedok Reservoir Road (Blk 129),1,14/01/2019
Bedok Reservoir Road (Blk 130),2,14/01/2019
Bedok Reservoir Road (Blk 131),3,14/01/2019
Bedok Reservoir Road (Blk 134),3,14/01/2019
Bedok Reservoir Road (Blk 135),2,14/01/2019
Bedok Reservoir Road (Blk 136),15,14/01/2019
Bedok Reservoir Road (Blk 137),4,14/01/2019
Bedok Reservoir Road (Blk 138),2,14/01/2019
Bedok Reservoir Road (Blk 139),11,14/01/2019
Bedok Reservoir Road (Blk 140),3,14/01/2019
Bedok Reservoir Road (Blk 141),5,14/01/2019
Bedok Reservoir Road (Blk 142),8,14/01/2019
Bedok Reservoir Road (Blk 145),1,14/01/2019
Bedok Reservoir Road (Blk 146),2,14/01/2019
Bedok Reservoir Road (Blk 147),3,14/01/2019
Bedok Reservoir Road (Blk 148),2,14/01/2019
Bedok Reservoir Road (Blk 149),1,14/01/2019
Bedok Reservoir Road (Blk 150),4,14/01/2019
Bedok Reservoir Road (Blk 151),1,14/01/2019
Bedok Reservoir Road (Blk 608),1,14/01/2019
Bedok Reservoir Road (Blk 609),1,14/01/2019
Bedok Reservoir Road (Blk 613A),1,14/01/2019
Bedok Reservoir Road (Blk 613B),1,14/01/2019
Bedok Reservoir Road (Blk 615),1,14/01/2019
Bedok Reservoir Road (Blk 622),1,14/01/2019
Bedok Reservoir Road (Blk 623),1,14/01/2019
Bedok Reservoir Road (Blk 626),1,14/01/2019
Bedok Reservoir Road (Blk 628),1,14/01/2019
Bedok Reservoir Road (Blk 629),1,14/01/2019
Eastwood Drive,24,14/01/2019
Eastwood Green,6,14/01/2019
Eastwood Place,1,14/01/2019
Eastwood Road,1,14/01/2019
Eastwood Terrace,4,14/01/2019
Eastwood Walk,1,14/01/2019
Eastwood Way,8,14/01/2019
Eastwood Road (Eastwood Centre),2,14/01/2019
Jalan Greja,4,14/01/2019
Pesari Walk,1,14/01/2019
Taman Bedok,1,14/01/2019
